"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","04-Jun-2020","        196.70","        197.75","        202.50","        195.00","        200.00","        200.15","        198.47","   21999875","          4366301845.75","     139109"
"ITC","EQ","05-Jun-2020","        200.15","        201.80","        202.00","        198.65","        200.25","        200.00","        200.33","   14632889","          2931388491.50","     108844"
"ITC","EQ","08-Jun-2020","        200.00","        202.90","        203.65","        197.00","        197.40","        197.65","        199.98","   19555380","          3910759849.85","     147273"
"ITC","EQ","09-Jun-2020","        197.65","        198.25","        206.20","        197.65","        198.30","        198.50","        202.14","   39914936","          8068441918.50","     264818"
"ITC","EQ","10-Jun-2020","        198.50","        199.45","        203.15","        198.30","        199.50","        199.05","        200.59","   27204677","          5456896008.85","     158372"
"ITC","EQ","11-Jun-2020","        199.05","        200.00","        201.25","        193.60","        194.65","        194.25","        197.64","   19847762","          3922656137.85","     136178"
"ITC","EQ","12-Jun-2020","        194.25","        188.95","        195.20","        187.85","        193.95","        193.90","        192.14","   22562987","          4335235500.40","     132980"
"ITC","EQ","15-Jun-2020","        193.90","        193.90","        193.95","        186.30","        187.50","        187.20","        188.93","   24463651","          4621991313.25","     188440"
"ITC","EQ","16-Jun-2020","        187.20","        190.80","        190.95","        181.90","        184.60","        185.00","        185.91","   27637395","          5138168584.55","     175837"
"ITC","EQ","17-Jun-2020","        185.00","        184.00","        185.00","        180.70","        180.95","        181.20","        182.94","   24028372","          4395858443.70","     158240"
"ITC","EQ","18-Jun-2020","        181.20","        181.20","        187.50","        180.70","        187.00","        186.60","        185.23","   28887658","          5350992635.80","     161396"
"ITC","EQ","19-Jun-2020","        186.60","        187.10","        187.95","        183.60","        184.50","        184.05","        184.69","   30531484","          5638956798.15","     149109"
"ITC","EQ","22-Jun-2020","        184.05","        186.50","        187.50","        183.15","        184.95","        185.00","        184.96","   31396392","          5807042271.65","     202541"
"ITC","EQ","23-Jun-2020","        185.00","        185.40","        187.50","        184.75","        186.00","        185.85","        186.05","   26547403","          4939039080.00","     130988"
"ITC","EQ","24-Jun-2020","        185.85","        187.40","        194.70","        186.15","        192.10","        191.85","        192.37","   54653037","         10513509538.40","     288784"
"ITC","EQ","25-Jun-2020","        191.85","        192.25","        203.50","        191.65","        202.50","        202.10","        198.36","   75575878","         14991285884.35","     385549"
"ITC","EQ","26-Jun-2020","        202.10","        206.00","        209.40","        193.30","        195.90","        195.20","        199.94","   71957460","         14387301617.55","     358652"
"ITC","EQ","29-Jun-2020","        195.20","        202.50","        203.00","        196.20","        197.60","        197.25","        198.59","   91504651","         18171721612.75","     388040"
"ITC","EQ","30-Jun-2020","        197.25","        199.40","        199.40","        194.00","        195.25","        194.65","        196.20","   41216021","          8086601929.90","     160995"
"ITC","EQ","01-Jul-2020","        194.65","        194.65","        203.85","        194.65","        203.70","        202.90","        199.68","   44298379","          8845394570.15","     251854"
"ITC","EQ","02-Jul-2020","        202.90","        204.45","        206.75","        202.55","        206.60","        205.85","        204.69","   39321517","          8048725871.55","     207180"
"ITC","EQ","03-Jul-2020","        205.85","        208.00","        208.50","        206.00","        206.85","        207.55","        207.43","   37896333","          7860890243.55","     182591"
"ITC","EQ","06-Jul-2020","        207.55","        200.35","        201.95","        198.95","        200.45","        199.80","        200.24","   34710608","          6950348407.05","     207930"
"ITC","EQ","07-Jul-2020","        199.80","        200.00","        200.50","        194.00","        194.50","        194.25","        195.53","   31282844","          6116701205.10","     236305"
"ITC","EQ","08-Jul-2020","        194.25","        194.25","        197.95","        194.25","        196.40","        196.30","        196.70","   21276389","          4184987357.55","     146793"
"ITC","EQ","09-Jul-2020","        196.30","        196.90","        197.00","        194.15","        196.00","        195.45","        195.09","   18769881","          3661866245.75","     134563"
"ITC","EQ","10-Jul-2020","        195.45","        195.15","        196.50","        194.00","        194.35","        194.35","        194.90","   16192017","          3155770984.80","      97350"
"ITC","EQ","13-Jul-2020","        194.35","        195.90","        198.75","        195.10","        197.75","        197.55","        197.15","   20298006","          4001811111.15","     131996"
"ITC","EQ","14-Jul-2020","        197.55","        197.40","        199.50","        192.75","        196.25","        195.90","        196.57","   18476313","          3631936207.45","     126232"
"ITC","EQ","15-Jul-2020","        195.90","        196.35","        200.00","        194.50","        198.85","        198.70","        197.63","   23777901","          4699300380.25","     124823"
"ITC","EQ","16-Jul-2020","        198.70","        198.70","        198.85","        192.00","        193.85","        193.85","        193.53","   22144753","          4285660630.30","     145754"
"ITC","EQ","17-Jul-2020","        193.85","        193.30","        195.40","        193.00","        194.35","        194.05","        194.22","   14882855","          2890497493.55","     101913"
"ITC","EQ","20-Jul-2020","        194.05","        195.00","        195.35","        192.35","        192.60","        192.70","        192.99","   18918931","          3651197208.85","     124472"
